"exp_table$target_id","Coculture_01_N","Coculture_02_N","Coculture_03_N","Coculture_04_N","Ecoli_01_N","Ecoli_02_N","Ecoli_03_N","Ecoli_04_N"
"yiaC__HW372_RS00870_rc_183658",0,0,0,0,0,0,0,0
"tag__HW372_RS00875_rc_184218",0,0,0,0,0,0,0,0
"yhjY__HW372_RS00880_184376",0,0,0,0,0,0,0,0
"yhjX__HW372_RS00885_185303",0,0,0,0,0,0,0,0
"eptB__HW372_RS00890_186835",0,0,0,0,0,0,0,0
"HW372_RS00895__HW372_RS00895_188618",0,0,0,0,0,0,0,0
"dppA__HW372_RS00900_189438",0,0,0,0,0,0,0,0
"HW372_RS00905__HW372_RS00905_rc_191334",0,0,0,0,0,0,0,0
"dppB__HW372_RS00910_191352",0,0,0,0,0,0,0,0
"dppC__HW372_RS00915_192381",0,0,0,0,0,0,0,0
"dppD__HW372_RS00920_193294",0,0,0,0,0,0,0,0
"dppF__HW372_RS00925_194274",0,0,0,0,0,0,0,0
"yhjV__HW372_RS00930_rc_196579",0,0,0,0,1340.88,0,0,0
"HW372_RS00935__HW372_RS00935_197055",0,0,0,0,0,0,0,0
"HW372_RS00940__HW372_RS00940_197538",0,0,0,0,0,0,0,0
"bcsG__HW372_RS00945_rc_199410",0,0,0,0,0,0,0,0
"bcsF__HW372_RS00950_rc_199598",0,0,0,0,0,0,0,0
"bcsE__HW372_RS00955_rc_201166",0,0,0,0,0,0,0,0
"bcsR__HW372_RS00960_201439",0,0,0,0,0,0,0,0
"bcsQ__HW372_RS00965_201639",0,0,0,0,0,0,0,0
"bcsA__HW372_RS00970_202388",0,0,0,0,0,0,0,0
"bcsB__HW372_RS00975_205017",0,0,0,0,0,0,0,0
"bcsZ__HW372_RS00980_207363",0,0,0,0,0,0,0,0
"bcsC__HW372_RS00985_208451",0,0,0,0,0,0,0,0
"hmsP__HW372_RS00990_212006",0,0,0,0,0,0,0,0
"dctA__HW372_RS00995_214177",0,0,0,0,1325.26,0,0,1255.64
"yhjJ__HW372_RS01000_215683",0,0,0,0,0,0,0,0
"kdgK__HW372_RS01005_rc_218204",0,0,0,0,0,0,0,0
"pdeH__HW372_RS01010_218436",0,0,0,0,0,0,0,0
"yhjG__HW372_RS01015_219273",0,0,0,0,0,752.584,0,0
"yhjE__HW372_RS01020_rc_222834",0,0,0,0,0,0,0,0
"yhjD__HW372_RS01025_rc_224240",0,0,0,0,0,0,0,0
"rcdB__HW372_RS01030_rc_225188",0,0,0,0,0,0,0,0
"yhjB__HW372_RS01035_225708",0,0,0,0,0,0,0,0
"treF__HW372_RS01040_rc_228010",0,0,0,0,0,0,0,0
"ccp__HW372_RS01045_228415",0,0,0,0,0,0,0,1156.01
"gadA__HW372_RS01050_230023",0,0,0,0,0,0,0,0
"gadX__HW372_RS01055_231791",0,0,0,0,0,0,0,0
