"exp_table$target_id","Coculture_01_M","Coculture_02_M","Coculture_03_M","Coculture_04_M","SMutans_01_M","SMutans_02_M","SMutans_03_M","SMutans_04_M"
"slmA__HW372_RS00440_rc_90855",NA,NA,NA,NA,NA,NA,NA,NA
"dut__HW372_RS00445_rc_91420",NA,NA,NA,NA,NA,NA,NA,NA
"coaBC__HW372_RS00450_rc_92618",NA,NA,NA,NA,NA,NA,NA,NA
"radC__HW372_RS00455_92790",NA,NA,NA,NA,NA,NA,NA,NA
"rpmB__HW372_RS00460_93675",NA,NA,NA,NA,NA,NA,NA,NA
"rpmG__HW372_RS00465_93932",NA,NA,NA,NA,NA,NA,NA,NA
"mutM__HW372_RS00470_94197",NA,NA,NA,NA,NA,NA,NA,NA
"coaD__HW372_RS00475_rc_95524",NA,NA,NA,NA,NA,NA,NA,NA
"waaA__HW372_RS00480_rc_96809",NA,NA,NA,NA,NA,NA,NA,NA
"rfaQ__HW372_RS00485_97222",NA,NA,NA,NA,NA,NA,NA,NA
"waaG__HW372_RS00490_98277",NA,NA,NA,NA,NA,NA,NA,NA
"rfaP__HW372_RS00495_99394",NA,NA,NA,NA,NA,NA,NA,NA
"waaO__HW372_RS00500_100207",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00505__HW372_RS00505_101240",NA,NA,NA,NA,NA,NA,NA,NA
"rfaY__HW372_RS00510_102245",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00515__HW372_RS00515_102963",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00520__HW372_RS00520_104073",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00525__HW372_RS00525_105102",NA,NA,NA,NA,NA,NA,NA,NA
"rfaC__HW372_RS00530_rc_107405",NA,NA,NA,NA,NA,NA,NA,NA
"rfaF__HW372_RS00535_rc_108455",NA,NA,NA,NA,NA,NA,NA,NA
"rfaD__HW372_RS00540_rc_109397",NA,NA,NA,NA,NA,NA,NA,NA
"kbl__HW372_RS00545_109611",NA,NA,NA,NA,NA,NA,NA,NA
"tdh__HW372_RS00550_110817",NA,NA,NA,NA,NA,NA,NA,NA
"waaH__HW372_RS00555_112081",NA,NA,NA,NA,NA,NA,NA,NA
"yibQ__HW372_RS00560_rc_114061",NA,NA,NA,NA,NA,NA,NA,NA
"envC__HW372_RS00565_rc_115324",NA,NA,NA,NA,NA,NA,NA,NA
"gpmM__HW372_RS00570_rc_116902",NA,NA,NA,NA,NA,NA,NA,NA
"yibN__HW372_RS00575_117147",NA,NA,NA,NA,NA,NA,NA,NA
"grxC__HW372_RS00580_117719",NA,NA,NA,NA,NA,NA,NA,NA
"secB__HW372_RS00585_118034",NA,NA,NA,NA,NA,NA,NA,NA
"gpsA__HW372_RS00590_118501",NA,NA,NA,NA,NA,NA,NA,NA
"cysE__HW372_RS00595_119600",NA,NA,NA,NA,NA,NA,NA,NA
"trmL__HW372_RS00600_rc_120949",NA,NA,NA,NA,NA,NA,NA,NA
"lldD__HW372_RS00605_rc_122187",NA,NA,NA,NA,NA,NA,NA,NA
"lldR__HW372_RS00610_rc_122960",NA,NA,NA,NA,NA,NA,NA,NA
"lldP__HW372_RS00615_rc_124615",NA,NA,NA,NA,NA,NA,NA,NA
"upaG__HW372_RS00620_rc_130363",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00625__HW372_RS00625_rc_131090",NA,NA,NA,NA,NA,NA,NA,NA
"yibL__HW372_RS00630_rc_132011",NA,NA,NA,NA,NA,NA,NA,NA
"yibT__HW372_RS00635_132295",NA,NA,NA,NA,NA,NA,NA,NA
"mtlR__HW372_RS00640_rc_133102",NA,NA,NA,NA,NA,NA,NA,NA
"mtlD__HW372_RS00645_rc_134250",NA,NA,NA,NA,NA,NA,NA,NA
"mtlA__HW372_RS00650_rc_136583",NA,NA,NA,NA,NA,NA,NA,NA
"yibI__HW372_RS00655_137120",NA,NA,NA,NA,NA,NA,NA,NA
"yibH__HW372_RS00660_137485",NA,NA,NA,NA,NA,NA,NA,NA
"yibF__HW372_RS00665_138692",NA,NA,NA,NA,NA,NA,NA,NA
"selA__HW372_RS00670_139398",NA,NA,NA,NA,NA,NA,NA,NA
"selB__HW372_RS00675_140786",NA,NA,NA,NA,NA,NA,NA,NA
"yiaY__HW372_RS00680_142821",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00685__HW372_RS00685_144102",NA,NA,NA,NA,NA,NA,NA,NA
"aldB__HW372_RS00690_145505",NA,NA,NA,NA,NA,NA,NA,NA
"araD__HW372_RS00695_rc_147785",NA,NA,NA,NA,NA,NA,NA,NA
"sgbU__HW372_RS00700_rc_148639",NA,NA,NA,NA,NA,NA,NA,NA
"ulaD__HW372_RS00705_rc_149294",NA,NA,NA,NA,NA,NA,NA,NA
"lyxK__HW372_RS00710_rc_150787",NA,NA,NA,NA,NA,NA,NA,NA
"yiaO__HW372_RS00715_rc_151777",NA,NA,NA,NA,NA,NA,NA,NA
"yiaN__HW372_RS00720_rc_153067",NA,NA,NA,NA,NA,NA,NA,NA
"yiaM__HW372_RS00725_rc_153537",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00730__HW372_RS00730_rc_154571",NA,NA,NA,NA,NA,NA,NA,NA
"yiaL__HW372_RS00735_rc_155058",NA,NA,NA,NA,NA,NA,NA,NA
"yiaK__HW372_RS00740_rc_156068",NA,NA,NA,NA,NA,NA,NA,NA
"yiaJ__HW372_RS00745_156269",NA,NA,NA,NA,NA,NA,NA,NA
"ysaA__HW372_RS00750_157219",NA,NA,NA,NA,NA,NA,NA,NA
"avtA__HW372_RS00755_rc_159097",NA,NA,NA,NA,NA,NA,NA,NA
"malS__HW372_RS00760_rc_161305",NA,NA,NA,NA,NA,NA,NA,NA
"bax__HW372_RS00765_161625",NA,NA,NA,NA,NA,NA,NA,NA
